CCc1n[nH]cc1C(=O)N1CCC[C@H]([NH2+]Cc2ccccc2F)C1,ZINC000999573010
Cc1ocnc1C(=O)N[C@@]1(C)CCN(Cc2n[nH]c(=O)[n-]2)C1,ZINC001046178686
CC(C)(C)SCC(=O)Oc1ccc(Br)c(F)c1,ZINC000732743561
OC[C@@H]1CCCC[C@@H]1c1nc(-c2cc(F)cc(F)c2F)no1,ZINC001249365821
Cc1cccc(Br)c1O[C@@H]1C[NH2+][C@H]1C,ZINC001218384227
CC[C@H]1CN(C(=O)C2CCC2)CC[C@H]1NC(=O)C1CCCCC1,ZINC000948209819
CCCCNC(=O)[C@@H]1CCCN(c2cc[nH+]c3cc(OC)c(OC)cc32)C1,ZINC000413099981
CCN1CCN([C@H](C(=O)Nc2ccc(C)cc2)c2ccccc2)C[C@H]1c1ncc[nH]1,ZINC000471081448
O[C@@H](C[C@H]1CCCCC[N@@H+]1Cc1ccon1)c1cccs1,ZINC000175865979
Cc1ccc([C@H](C)NC(=O)[C@@H]2CC(C)(C)OC2(C)C)cc1,ZINC000527838025
O=S(=O)(C[C@@H]1CCCO1)N1CC2(C1)CCN(Cc1cccnc1)C2,ZINC001193221862
Cc1nnc(CNC[C@H](C)CNC(=O)CCc2ccccc2)s1,ZINC001482164163
C[C@H](C[NH+]1CCCCC1)NC(=O)[C@@H](O)[C@H](C)c1ccccc1F,ZINC000864860631
Cc1c(C(=O)N(C)[C@H](C)c2ccco2)cnn1C1CCCCC1,ZINC000272651723
COCC[N@@H+]1CC2(C[C@H]1COCC1CC1)CCN(c1cc[nH+]c(N)n1)CC2,ZINC001164784853
c1cn2cccc(-c3nc4cc5c(cc4[nH]3)OCCCO5)c2n1,ZINC001250974529
C[C@H](CCNC(=O)[C@H]1COC(=O)N1)[NH2+]C/C=C/Cl,ZINC001420074868
COC(=O)C[C@@H]1COCCN1C(=O)[C@H]1CCc2cc(OC)ccc21,ZINC000861728385
O=C(COC(=O)c1cc(Cl)cc(Cl)n1)c1ccc2c(c1)OCCO2,ZINC000762939156
Cc1cc(CN(C)[C@H]2CCN(c3cccc(OC(F)(F)F)c3)C2=O)no1,ZINC000132511921
C[N@H+]1CCC[C@]2(CCN(C(=O)N[C@H](C[C@H]3CCCO3)C(F)(F)F)C2)C1,ZINC000654253223
CC[C@](C)(CCO)NC(=O)N[C@H]1CCO[C@H]1c1ccc(Cl)c(F)c1,ZINC000246100652
CC[N@@H+]1CC[C@H]1CNC(=O)[C@H](CO)NC(=O)c1ccc(F)cc1,ZINC000922157293
C[C@H](CCc1ccc(F)cc1F)[NH2+]Cc1ccc(C(C)(C)O)cc1,ZINC000796948427
N#Cc1ccccc1OCC(=O)NCc1cccc(COCc2ccco2)c1,ZINC000041421021
COc1ccc(C2=NO[C@H](CNC(=O)Cc3ccccc3O)C2)cc1F,ZINC000283603526
CC[C@@H]1CCCC[C@H]1[NH2+][C@@H](C)[C@H]1CCC[NH2+]1,ZINC000422815176
Cc1ncc(CC(=O)N2[C@@H]3CC[C@H]2[C@H](NC(=O)CN2CCCC2=O)C3)o1,ZINC001001274930
Cc1cc(NC(=O)C(=O)N2CC[C@@H](C)[C@@H]2CO)c(F)cc1Br,ZINC000288058522
CC(C)C[N@@H+]1CC[C@@H]2CN(C(=O)C3[C@H]4CCCCCC[C@H]34)[C@@H]2C1,ZINC001084683383
Cc1nocc1C(=O)N(C)[C@@H]1CC[N@H+]([C@@H]2CCc3ccc(F)cc32)C1,ZINC001033380883
CN(C)c1ncc(NC(=O)C(=O)NCc2ccc3ccccc3c2)cn1,ZINC000164180874
Cc1ccccc1-c1noc(CN2C[C@H](C)O[C@@H](C)C2)n1,ZINC000015254850
C[C@@H]1CC[C@@H](c2noc(-c3cccc(Br)c3Cl)n2)O1,ZINC000528246080
COC(=O)CCCSc1nccn1-c1cc(C)cc(C)c1,ZINC000520688728
CCOC(=O)N1CCC[C@@H](C(=O)Nc2cccc(C[NH2+]C)c2)C1,ZINC000269130816
C[C@@H]1C[C@@H]1C[N@H+]1CCC[C@H](c2nc(C(F)(F)F)cs2)C1,ZINC000488354993
CCc1ccc([C@@H](O)C[N@@H+]2CCCC[C@@H](NC(=O)C3CCC3)C2)cc1,ZINC001034076620
CC1(C(=O)N2CC[C@H](C3CCOCC3)C2)CCOCC1,ZINC000677259175
CCC(CC)(CO)C(=O)N1CCC2(C1)OCCO2,ZINC000847439066
CCCC[C@@H](C[NH2+]CC1CC2(CCC2)C1)NC(=O)C#CC1CC1,ZINC001734093188
C[C@H]1CN(CCCS(=O)(=O)C(C)(C)C)C[C@H](C)S1,ZINC000878137014
Cc1cccc(NC2CCN(C(=O)CCc3ccc(C(=O)[O-])cc3)CC2)c1,ZINC000738736877
CCC(=O)N(C)CCN(C)Cc1ccc(OC)c(C#N)c1,ZINC001496646421
O=C([O-])c1ccc(F)c2c1CN(Cc1cnon1)CC2,ZINC001608896600
COC(=O)c1c(C)n[n-]c1S(=O)(=O)Oc1cccc(C(C)(C)C(=O)[O-])c1,ZINC001598911895
CNC(=O)[C@H](C)N1C[C@H]2CC[C@@H](C1)N2C(=O)C1CC[NH+](C)CC1,ZINC001017886313
C=CCN1CC[C@H](N(C)S(=O)(=O)Cc2csc(C)n2)C1=O,ZINC000684920815
C/C=C(\C)C(=O)N1CCC[C@@H](N(C)C(=O)c2ccn[nH]2)C1,ZINC000984055179
CN(CC[N@H+](C)CC(=O)N(C)CC1CC1)C(=O)c1cscn1,ZINC001374471890
CN(c1ccc(CO)c(C(F)(F)F)c1)S(=O)(=O)c1cccc(N)c1,ZINC001214685900
C=CCCC[N@H+](C)[C@@H]1CCN(C(=O)[C@H]2Cc3cccnc3C2)C1,ZINC001193736652
CCn1nncc1C[NH2+][C@@H]1CN(C(=O)CCC(C)C)C[C@H]1c1ccccc1,ZINC001211530196
CCCN1C[C@H](NC(=O)[C@@H]2C[C@@H]3OCC[C@@H]3[NH2+]2)CC1=O,ZINC001553406371
Cc1nc[nH]c1C(=O)N1CCC[C@@H]1CNC(=O)c1n[nH]c(=O)[n-]c1=O,ZINC000944126406
C#Cc1ccccc1CC(=O)N1C[C@@H]2C[C@H]1CN2Cc1conc1C,ZINC001032753060
C#CC[C@@H]1CCN(C(=O)[C@H]2CC(=O)N(c3cnn(CCOC)c3)C2)C1,ZINC000862578588
CNC(=O)c1ccc(C(=O)NC[C@@H]2C[N@H+](CC(N)=O)C[C@@H]2O)cn1,ZINC000958598627
CCOC1CC(C(=O)N2CCC(CO)(NC(=O)C3CC3)CC2)C1,ZINC001080661505
[NH3+][C@H]1CCc2cc(C(=O)NC[C@H]3CCCO3)ccc2NC1=O,ZINC000911894886
CC1(C)CC[C@@H]1NC(=O)CN1c2ccc([N+](=O)[O-])cc2C(F)(F)C1=O,ZINC000832000871
C=CCC(CC=C)C(=O)N[C@@H](C)C[C@H](C)Nc1ccnc(C#N)n1,ZINC001089391441
COC1(C(=O)NCc2ccc(F)cc2CSC)CCCCC1,ZINC000346253314
Cc1cnc([C@@H](C)N2C[C@@H]3[C@@H](CNC(=O)c4cccc(C)n4)[C@@H]3C2)o1,ZINC000977829155
CCOc1cc2c(cc1OCC)CN(S(=O)(=O)CC13CCC(CC1)C3)CC2,ZINC001208831800
CO[C@H](CNC(=O)N1CC(C)(C)[C@@H]2CCC[C@@H]21)C(C)(C)C,ZINC000454579611
COCC[NH2+]CC1(CCNC(=O)[C@]2(C)CCN(C(C)=O)C2)CC1,ZINC001167662237
CC[C@@H](C)NC(=O)C(C)(C)C(=O)OC(C)(C)C,ZINC000592569507
O=[N+]([O-])c1ccc(Br)c(CN2CC(F)(F)C[C@H]2CO)c1,ZINC001341265246
C[C@@H](C(N)=O)N(C)CCNC(=O)CCc1ccc2[nH]ccc2c1,ZINC001390799480
COC(=O)c1ccccc1-c1ccc(C[N@@H+](C)CCN2CCOCC2)o1,ZINC000132289094
Cc1cc(N2CCC(C(=O)Nc3nc[nH]c3C#N)CC2)ncn1,ZINC001177551383
C[C@H](CN(C)C(=O)Nc1ccn([C@@H](C)c2ccccc2)n1)C(=O)[O-],ZINC000669501203
O=c1[nH]c(N(Cc2cccc(-c3cccnc3)c2)C2CC2)nc2ccccc21,ZINC000152454689
COc1ncc(Br)cc1C[NH2+]C[C@@H](O)c1ccccc1,ZINC000863572720
c1cnn(C2CC([NH2+][C@H]3CC4CCC3CC4)C2)c1,ZINC000638749385
COC[C@H](C)CC(=O)NC[C@H]1C[N@@H+](CC2CC(C)(C)C2)CCCO1,ZINC001150527402
